agency,role,PL,CL,Life,score,NPS,is_easy,comments,category
4757,Principal,Personal Lines,,,9,Promoter,Agree,typically yes - the expansion of the # of products has made it more complicated. Cutting commissions to be competitive,Positive
48003,Producer,Personal Lines,,,9,Promoter,Strongly Agree,"The website is very user friendly, the coverage's are easy to tailor to my customers needs.",
21163,Customer Service Representative (CSR),,Commercial Lines,,5,Neutral,Agree,Our underwriter has been great to work with. I am just nervous that Grange is buying business and ill take huge increases in the coming years.,Positive
4101489,Other,,Commercial Lines,,5,Detractor,Neither Agree nor Disagree,I don't do enough with Grange to have an opinion,
6215,Producer,,Commercial Lines,,8,Promoter,Agree,"Grange is a respected partner, of course I recommend them.",Positive
2039,Producer,Personal Lines,,,10,Promoter,Agree,It's all about gainweb,Positive
6309,Customer Service Representative (CSR),Personal Lines,,,6,Detractor,Agree,We don't find Grange as competitive as some of our companies,Pricing
2101078,Producer,Personal Lines,,Life,2,Neutral,Somewhat Agree,Rates have been high and sometimes I get confused on your website,
3401753,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Agree,Grange us usually a easy company to do business with. I think you need to try to keep your employees longer as we seen to deal with new people most of the time,Positive
1247,Producer,Personal Lines,Commercial Lines,Life,9,Detractor,Strongly Agree,Very easy to quote and can speak to someone right away.,
21232,Customer Service Representative (CSR),Personal Lines,,,8,Detractor,Somewhat Agree,Premiums are high compared to other companies,
4974,Principal,Personal Lines,Commercial Lines,Life,8,Neutral,Agree,experience,Positive
1301240,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Grange is easy to work with and the underwriters are always eager to help.,
4718,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Agree,Quoting system is easy and underwriter is good to work with.,Positive
21203,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Agree,,
3401971,Producer,Personal Lines,,,5,Promoter,Agree,Grange is a good company.  Easy to use.,Positive
3701041,Producer,Personal Lines,,,10,Promoter,Strongly Agree,the system is straight forward and the underwriter is extremely helpful.,
2101517,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,Grange's customer service is awesome and the website is very user friendly.,Positive
4101349,Producer,,Commercial Lines,,8,Promoter,Agree,I write mostly commercial.  Would like to be able to quote package more like BOPs,Positive
21169,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,good company,Positive
1492,Producer,Personal Lines,,,8,Neutral,Agree,,
3701635,Principal,Personal Lines,,,10,Promoter,Strongly Agree,"Great products, coverage, and professional presentation.",
1301214,Principal,Personal Lines,,Life,9,Promoter,Agree,easy computer systems,Positive
3401444,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,because it is what it is. grange is a great company with great rates for our agency & clients,
22420,Other,Personal Lines,,,6,Detractor,Somewhat Agree,Website not easy to navigate especially for servicing.,
1601355,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Great quote software,
22379,Producer,Personal Lines,,,9,Neutral,Disagree,Premiums for MN are not competitive with some of our other carriers I love Integrity and our Underwriters but the premiums are not coming in good,
3701160,Producer,Personal Lines,,,9,Neutral,Somewhat Agree,pricing is still off a little bit,
1301132,Principal,Personal Lines,,,9,Neutral,Agree,sometimes Grange can be difficult sometimes they are easy,Positive
3423,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,the agents are very knowledgeable; the website is easy to follow,
1001529,Producer,Personal Lines,,,8,Neutral,Disagree,I have never used this company yet.,
22188,Principal,,Commercial Lines,,8,Neutral,Somewhat Agree,Because,
1301212,Customer Service Representative (CSR),Personal Lines,,,5,Detractor,Neither Agree nor Disagree,,
1301589,Producer,,Commercial Lines,,8,Promoter,Agree,Because Keith Hagemeier is Amazing to work with!,Positive
2101023,Customer Service Representative (CSR),,Commercial Lines,,1,Neutral,Neither Agree nor Disagree,"Most recently, the underwriter I was working with didn't seem to be able to answer my forms & coverages related questions very well.  I had to decipher the email & research the policy myself to figure out what the underwriter was telling me.",
3426,Producer,Personal Lines,Commercial Lines,,10,Neutral,Agree,"Grange has a good product, and the rating and policy issue system is very good.",Positive
1201115,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Agree,,
3426,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,"Even when I encounter a problem, there is always someone available to assist and move past any issue.",
3401671,Other,Personal Lines,Commercial Lines,Life,7,Neutral,Somewhat Agree,Fairly easy to work with overall.,
3401852,Producer,Personal Lines,Commercial Lines,,9,Promoter,Agree,People at Grange are easy to work with and very knowledgeable.,Positive
366,Principal,Personal Lines,Commercial Lines,Life,8,Promoter,Agree,"Grange is easy to do business with and has great service , but hard to write new business with due to uncompetitive rates. Especially personal lines",Positive
48138,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Agree,We represent many companies,Positive
1001011,Principal,Personal Lines,,,9,Promoter,Agree,,
1601480,Other,,Commercial Lines,,7,Neutral,Somewhat Disagree,We have some restrictions in various communities.  This makes product training difficult in agency wide training sessions.  We need to open all offices for growth,
1001341,Producer,Personal Lines,,,10,Promoter,Strongly Agree,competitive rates,
3402129,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Always a friendly staff,
6020,Producer,Personal Lines,,,10,Promoter,Agree,Grange has always been a reliable insurance carrier with very good Ease of Doing Business which has remained strong for agents over the years.,Positive
4501291,Customer Service Representative (CSR),,Commercial Lines,,7,Detractor,Somewhat Agree,"on-line system for quoting is convenient, the underwriting approval process is complicated.",
21255,Other,Personal Lines,,,8,Detractor,Somewhat Disagree,"Unfortunately, I don't find Grange competitive at all. So, it is hard to recommend if you can't write the business yourself.",
1189,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Agree,Grange has a wide variety of products and the underwriters or polite & helpful. They are quick to respond to questions.,Positive
6002,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Great underwriter,
48581,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,"Integrity has requested some things I haven't seen from other carriers, such as titles for possibly salvaged cars, which can cause a little tension with clients, but otherwise happy.",Positive
3284,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Somewhat Agree,Pricing . HO3 not competive. HO4 & HO6 better,
4790,Customer Service Representative (CSR),Personal Lines,,,5,Detractor,Neither Agree nor Disagree,,
1601460,Principal,Personal Lines,,Life,10,Promoter,Strongly Agree,Software is user friendly.  New products offer pricing choices.  I like all the extra tools and sales support offered by Grange.,
3701403,Principal,Personal Lines,Commercial Lines,Life,6,Detractor,Neither Agree nor Disagree,underwriting guidlelines are difficult use with most clients.  often prior carrier reports are wrong on grange.  the homeonwers roof policy is extremely limiting,
48697,Producer,Personal Lines,,,8,Neutral,Agree,easy to work with,Positive
14764,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Great company, knowledgeable customer service, competitive rates",
4501454,Producer,,,Life,10,Promoter,Agree,Issue policys quickly,Positive
48722,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"I have worked with Integrity on the agency side for 24 years and Integrity has always been a leading company.  Ease of business, competitive and quality.",
4501294,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,Use Grange for commercial auto. Price is great,
4480,Principal,Personal Lines,,,10,Promoter,Strongly Agree,Quoting is easy and the coverage offered by the auto/home products are flexible to meet most needs.,
3701104,Principal,Personal Lines,,,6,Neutral,Somewhat Agree,"pricing in our pa area is higher than competition, 15 year roof limitation",
3401829,Producer,,Commercial Lines,,6,Neutral,Agree,,Positive
3401430,Producer,Personal Lines,,,7,Promoter,Somewhat Agree,Unfortunately homeowner rates are too high for our territory.  Auto rates can be very good at times but this year it has been hard to beat some of the other carriers.  It is very difficult to write business when there is a youthful driver in the household.  We quote Grange often and do continue to write business however we would love to see a rate reduction in the near future to help us get more home/auto package business.,
1257,Producer,,Commercial Lines,,8,Promoter,Somewhat Disagree,Underwriters seem to be overloaded and spread too thin. It takes longer than it should to get responses back on submitted applications,
6241,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,I have always been able to quote easy with Grange and have gotten answers easy when needed,
3431,Producer,,Commercial Lines,,9,Promoter,Strongly Agree,"great company very good rates for home, rent commercial",
4716,Principal,Personal Lines,Commercial Lines,Life,8,Detractor,Somewhat Agree,Overall Grange is great company with good rates and excellent claims handling.  They have some issues with the billing system that need to be remedied but they do not acknowledge that nor intend to rectify.,
1601387,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,My underwriters are  very helpful,
48490,Principal,Personal Lines,,,9,Promoter,Strongly Agree,"great coverage, fair premiums; very helpful when writing new business",
1059,Producer,Personal Lines,,,9,Neutral,Strongly Agree,Grange has the ease of doing business and our underwriter is very compassionate and works hard for Zander,
4101454,Producer,Personal Lines,,,5,Neutral,Somewhat Disagree,The Grange system does not flow well.  Quoting is difficult at times.  For auto -- a true Roadside Assistance program would be helpful.,
22013,Principal,Personal Lines,,,8,Neutral,Somewhat Agree,Rates are not really competitive right now.,
3701055,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Strongly Agree,Very positive comments from Clients with Grange Loss Control,
3901216,Producer,,,Life,8,Detractor,Somewhat Agree,I haven't done a lot with Grange but once reason I put what I did is because I was selling the child policy and didn't realize that I used the old forms.  I wish someone would have called me right away instead of sending the forms back.  Also the form didn't specify that a signature is required at age 15 in SC and then the juvenile section needed to be completed on the agent form even though he was over 15.  Took a month to get done and I think proper guidance from the beginning would have made things easier.  I blame myself for not having the update enrollment form.,
21340,Producer,Personal Lines,,,5,Detractor,Neither Agree nor Disagree,haven't been placing a lot of business with grange due to rates not being competitve,
6374,Customer Service Representative (CSR),,Commercial Lines,,6,Detractor,Disagree,Underwriters who don't call back promptly or NOT AT ALL,
6128,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,,
3401061,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,Website is usually easy to work with. Premiums are competitive.,Positive
6323,Producer,,Commercial Lines,Life,9,Promoter,Agree,easy to quote. easy to work with. when grange wants a business they are competitive,Positive
1492,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,They have been outstanding in helping me write more business accounts.,
4101294,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,you always seem to be able to talk with a person.,
4730,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Strongly Agree,Rates are becoming more competitive with the new home and auto product that was introduced to us.  Grange has always had that ease of doing business mentality.,
3401096,Customer Service Representative (CSR),,Commercial Lines,,4,Detractor,Neither Agree nor Disagree,"I am not as familiar with Grange. However, I would recommend Grange to a client.",
14769,Producer,Personal Lines,,,9,Promoter,Agree,BECAUSE IT IS TRUE,Positive
3414,Customer Service Representative (CSR),,Commercial Lines,,8,Promoter,Strongly Agree,never have an issue getting ahold of an underwriter. always have quick responses,
3233,Customer Service Representative (CSR),Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,"Their rating software is easy, customer service is always very friendly.",
4105,Producer,Personal Lines,Commercial Lines,,9,Neutral,Strongly Agree,Grange is fair and prompt with our clients. Grange representatives always work with us fairly and I feel that they we have a good relationship with Grange. I also like Granges web site.,
4833,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Grange is a fantastic company. Easy going! And always there to answer questions and help with billing.,
3701550,Principal,Personal Lines,,Life,9,Promoter,Strongly Agree,,
6071,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Somewhat Agree,website isn't the most user friendly,
4101521,Principal,,,Life,9,Promoter,Agree,"easy to route the clients, Good Customer Service and sales representative as well",Positive
1055,Producer,,Commercial Lines,,7,Detractor,Agree,Confident with our long term relationship... worried with all the rate changes recently,Positive
48224,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,5,Neutral,Somewhat Agree,"SIMPLE WEBSITE, FAIR RATES",
21309,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,Easy to quote and write. Helpful billing and underwriting staff,Positive
6248,Customer Service Representative (CSR),,Commercial Lines,,9,Neutral,Agree,completing survey.  :),Positive
4803,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,"I am insured with Grange and also sell Grange products and couldn't be happier with the service, which includes the underwriters and claims department team.",
4501062,Principal,Personal Lines,,,9,Detractor,Somewhat Disagree,"poor claim service, serious tech problem. not so friendly people",
3701228,Producer,Personal Lines,,,5,Neutral,Somewhat Agree,having to enter things from the clue or MVR is a pain when all other carriers do it automatically,
1035,Customer Service Representative (CSR),,Commercial Lines,,5,Detractor,Somewhat Disagree,website is not as user friendly as other companies. not all lines of coverage can be rated and issued,
4974,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,easy system to quote & prices are competitive as well,
22181,Principal,,Commercial Lines,,8,Neutral,Somewhat Agree,We are newer to Integrity and not as familiar with products.    Some things I thought would be real easy were more difficult to get processed.,
48617,Principal,Personal Lines,Commercial Lines,Life,8,Promoter,Strongly Agree,This is the second survey I've taken this week,
22087,Principal,Personal Lines,,,5,Neutral,Somewhat Disagree,Rates are way too high in MN for our preferred risks.,
1301615,Principal,Personal Lines,Commercial Lines,,8,Neutral,Agree,I have never had problems with the company.  Underwriting and billing are all very knowledgeable and helpful.,Positive
3701628,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,"AUTO INSURANCE IS GREAT AND EASILY PROCESSED - ONE NEGATIVE HAS BEEN THE ADDRESS VALIDATION PROCESS AND LOCKING US OUT OF PROCESSING THE POLICY UNTIL RELEASED BY UW  HOME INSURANCE - THE ACV ON ROOFS 15 YRS OR OLDER ARE A DETERENT OF WRITING HOMES WITH GRANGE, ESPECIALLY IN OH WHERE REPLACEMENT COST DROPS TO ACV AFTER 15 YRS",
48368,Other,Personal Lines,,,10,Neutral,Agree,I feel Integrity is a good company.  Rating is easy and underwriters are quick at getting back to you if you have questions.,Positive
4702,Customer Service Representative (CSR),Personal Lines,,,5,Detractor,Neither Agree nor Disagree,,
3701611,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Agree,Premiums and coverages are great. Website is user friendly. Underwriter(s) and assistants are fabulous!,Positive
3401608,Producer,Personal Lines,,Life,10,Promoter,Strongly Agree,Ease of customer experience,
1001683,Principal,Personal Lines,,,3,Promoter,Somewhat Agree,"I would never hesitate to recommend Grange to a customer or to write my own insurance with Grange. I believe Grange is a strong reliable carrier. However, I am however, continually disappointed with trying to quote your system. Either I can't get a quote at all or the premium is not competitive at all.",
4803,Other,,Commercial Lines,,10,Promoter,Strongly Agree,good stuff,
4501158,Producer,Personal Lines,,,10,Promoter,Agree,When I have quoted them and the clients has decided to go with them.  The process was pretty easy and straightforward.  I would definitely use you again if everything aligns for my customers.,Positive
21127,Producer,Personal Lines,,Life,4,Detractor,Agree,Prices are a bit high on auto and have been for years. Not just a bit...a great bit.  Life and home is good.,Positive
1601221,Principal,Personal Lines,Commercial Lines,,8,Promoter,Somewhat Agree,We do not have a direct code with Grange so we have to send everything thru AHA which takes longer.,
1201284,Producer,Personal Lines,Commercial Lines,,7,Neutral,Somewhat Agree,I RATE ALL CLIENTS  BUT YOUR RATES ARE HIGHER AND CLIENTS ARE VERY KNOWLEDGEABLE ABOUT INSURANCE AND CAUTIOUS ON PREMIUM.,
48283,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Agree,"Only part that makes it difficult is some insured's don't want to provide their social security number. Other than that, I love it!",Positive
3401760,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Out of all of my carriers we quote Grange first then move on from there if we need to.  The EODB is tops among my carriers.,
3390,Other,Personal Lines,Commercial Lines,Life,9,Promoter,Strongly Agree,"Grange is my personal insurer, and if I am happy, I'm sure others will be too.",
48453,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,,
1001146,Producer,,,Life,9,Neutral,Disagree,Rating for home and auto in our area is GREATLY uncompetitive.,
1090,Producer,Personal Lines,,,10,Promoter,Agree,Easy Quoting system and helpful underwriting,Positive
3401487,Principal,Personal Lines,,,10,Promoter,Strongly Agree,"Grange is our number one partner, very easy to conduct business.",
21312,Customer Service Representative (CSR),,Commercial Lines,,4,Detractor,Neither Agree nor Disagree,I have other markets with better relationships,
4501084,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Strongly Agree,The system is easy to use,
1129,Producer,Personal Lines,,,10,Promoter,Agree,,
48171,Producer,Personal Lines,,,9,Neutral,Somewhat Agree,underwriting is difficult at times,
21152,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"I love how easy it is to work the website to pay a bill, look up policy info, or anything else that needs attention",
1301352,Principal,Personal Lines,,Life,2,Neutral,Somewhat Disagree,Too many varied underwriting parameters.  Work flows in website are not intuitive.  Too many delays processing between screens and looking for information.,
3291,Producer,Personal Lines,,,10,Promoter,Strongly Agree,It is very user friendly. Underwriters respond quickly and reasonably,
3701041,Other,Personal Lines,,,8,Neutral,Agree,,Positive
3401047,Principal,Personal Lines,Commercial Lines,,3,Neutral,Disagree,new system and rating both auto and home is much more difficult than it should be,
4541,Other,Personal Lines,Commercial Lines,,10,Promoter,Somewhat Agree,I have Grange myself and have been mostly satisfied.,
3701010,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,Your system is easy to rate.,Positive
39001,Principal,Personal Lines,,,7,Detractor,Somewhat Agree,we have no field representation in SC and we feel like we do not have any contact with the company other than a generic email.,
1201346,Principal,Personal Lines,,,8,Neutral,Somewhat Agree,Have had negative experience with commercial underwriters.  Don't value agent.  Very difficult to get in touch with them.,
1287,Principal,Personal Lines,,Life,9,Detractor,Somewhat Disagree,Rates are not in line in our area. Personal Lines Underwriting department is lacking. Life company is great.  I always recommend grange life. Life company follows the EODB principles.,
4724,Principal,Personal Lines,Commercial Lines,Life,10,Neutral,Agree,"Online services for customer, technology is very good",Positive
48500,Principal,Personal Lines,,,7,Neutral,Somewhat Agree,New to Integrity - still learning.,
14538,Producer,Personal Lines,,Life,8,Neutral,Agree,Easy to work with and offer good coverages.,Positive
4748,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,"I have had some discrepancy's on cov A and it has been somewhat challenging to come to an agreement  on that coverage. I wanted to lower a homeowner deductible from $2,500 to $1,500 Grange had paid out one claim for $2,500, I was not allowed to change because of this. Seems ridiculous why I cant lower the deductible.",
48722,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Integrity offers very competitive rates and when it comes to claims they handle it very promptly.  Also their Billing screens are very easy to navigate.,
22001,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Somewhat Disagree,Having service problems.  Writing new business is great - easy to work with - prompt response but renewals and questions on existing business is not easy,
1163,Producer,Personal Lines,Commercial Lines,,8,Detractor,Agree,EASY TO QUOTE,Positive
1001504,Producer,Personal Lines,Commercial Lines,Life,8,Neutral,Agree,Underwriter and system very easy to work with,Positive
21337,Producer,Personal Lines,Commercial Lines,Life,10,Detractor,Somewhat Disagree,The rates in our territory are not competitive on any class of business.,
3701017,Other,,Commercial Lines,,7,Neutral,Somewhat Disagree,"i find writing business cumbersome at times.  response time often lags (from underwriting), renewal processing can be too tight to renewal date too frequently.",
21076,Producer,,Commercial Lines,,8,Neutral,Agree,easy to quote and issue,Positive
4515,Customer Service Representative (CSR),Personal Lines,Commercial Lines,Life,9,Promoter,Somewhat Agree,Things are changing and making it not so easy to do business. Different variant rating modules. Rates for home and commercial auto are getting more and more non-competitive.,
3074,Producer,Personal Lines,,Life,7,Neutral,Somewhat Agree,Pricing not the best on certain products.,
3401890,Producer,Personal Lines,,,9,Promoter,Somewhat Agree,,
6202,Producer,,Commercial Lines,Life,9,Detractor,Somewhat Agree,Grange Pricing is way off in our territory.,
22404,Producer,Personal Lines,,,2,Promoter,Somewhat Agree,Your website can be tiring.,
1001499,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,Grange has always been competitively priced with good benefits and working with them is a breeze.,Positive
1001127,Other,,Commercial Lines,,10,Promoter,Strongly Agree,Leah Gibson is very responsive and very personable! I enjoy working with her!,
4987,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"Grange's website is easy to navigate, you can customize quotes, underwriters are accessible, increases are reasonable, eligibility is pretty clear, claims are handled well....I enjoy writing Grange policies and working with the company.",
21200,Customer Service Representative (CSR),Personal Lines,,,7,Neutral,Somewhat Agree,easy quoting system,
48186,Producer,,Commercial Lines,,8,Promoter,Strongly Agree,I feel Integrity provides a quality product at a fair price and our agency has a great relationship with the underwriters.  I feel the underwriters work with us to help in writing new business.,
48383,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Integrity is easy to work with and always available to help when we need them,
2101210,Principal,,,Life,10,Promoter,Strongly Agree,System is easy to use and the product is solid,
2013,Customer Service Representative (CSR),,Commercial Lines,,7,Promoter,Strongly Agree,"Our agency has a very competent, knowledgeable,  responsive underwriter who has been with Grange for many years.",
1001395,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,hard to talk to underwriting some times. If client is in your office you cant wait for a call back.,Positive
14500,Producer,,Commercial Lines,,10,Detractor,Agree,Until Integrity gets competitive again it's most likely that I would go with other personal lines carriers.,Positive
22390,Producer,Personal Lines,,,5,Detractor,Neither Agree nor Disagree,,
79,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Agree,i think grange is easy to work with,Positive
3701070,Producer,Personal Lines,Commercial Lines,,8,Neutral,Somewhat Agree,rate changes too much after quoting,
104,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Strongly Agree,ease of doing business with Grange and excellent claims service,
21084,Customer Service Representative (CSR),Personal Lines,,,9,Detractor,Somewhat Disagree,Grange pinpoint has been out of line with pricing and hard to place business with.,
14500,Principal,,Commercial Lines,,10,Promoter,Agree,Easy access to company personnell,Positive
1853,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,premium is what is keeping us from writing Grange,Positive
2118,Principal,Personal Lines,Commercial Lines,,8,Promoter,Agree,,
6269,Principal,,Commercial Lines,,9,Detractor,Somewhat Agree,running into enough problems with acceptability to drop a few points,
39024,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Great service!,
4272,Producer,Personal Lines,Commercial Lines,Life,8,Promoter,Agree,"Grange is easy to use, just the premiums at renewals seems to increase everytime.",Positive
2101417,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Neither Agree nor Disagree,Not as familiar with Grange products as I am with other markets,
1066,Producer,Personal Lines,,,9,Promoter,Agree,The underwrites are great to work with,Positive
22022,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Agree,Positive
3701081,Producer,Personal Lines,,,6,Promoter,Somewhat Agree,The prices are not that great in our area.  We use Ezlynx and when I put all the customers information in Grange is no way near the top of the list with pricing,
1001565,Principal,Personal Lines,,,1,Detractor,Disagree,weak policy forms and systems,
580,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,Grange is a company with great service to customers and agents.,
2101423,Customer Service Representative (CSR),Personal Lines,,,6,Detractor,Somewhat Agree,Unfortunately for our area your rates are not very competitive.  I do find your website not easy to navigate.,
1201329,Other,,Commercial Lines,,0,Detractor,Disagree,I've sent submissions in the past but have had little luck.  I would very much like to write new business but the accounts I've sent that would appear to fit have been declined.,
4748,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Agree,,
3469,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,User friendliness when quoting,
48453,Producer,,Commercial Lines,,8,Neutral,Somewhat Agree,Dealing with the billing department has not been the easiest.  We purchased my book of business from another agency and we cant access the client policies until renewal.  That has created some difficulty,
4797,Customer Service Representative (CSR),,Commercial Lines,,7,Detractor,Agree,,
4101007,Customer Service Representative (CSR),,Commercial Lines,,9,Detractor,Somewhat Agree,Slow responses to endorsement requests and quote approvals,
21082,Principal,Personal Lines,,Life,9,Detractor,Somewhat Disagree,Grange Insurance is simply not in the business to write personal lines in the State of Michigan.  They are only interested in writing commercial they have made that point quite clear.,
3402129,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,I love using Grange. Always the cheapest prices and the website is great!,
3097,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,"Pretty competitive ratings, but there were some major malfunctions one week when we tried to upload a new business that was pretty disruptive and we couldn't upload until the following week which was inconvenient for the client",Process
21084,Customer Service Representative (CSR),Personal Lines,,,7,Neutral,Agree,,
4101333,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,I have found your auto rates very competitive,Positive
3701265,Producer,Personal Lines,Commercial Lines,,9,Promoter,Agree,Grange offers a variety of product highlights and endorsements. Gainweb makes it easy to navigate and quote business,Positive
1001066,Principal,Personal Lines,Commercial Lines,Life,8,Promoter,Agree,We like your Service & Price,Positive
14388,Customer Service Representative (CSR),,Commercial Lines,,7,Promoter,Agree,easy to work with,Positive
2101023,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Agree,,
21163,Producer,,Commercial Lines,,9,Promoter,Strongly Agree,East to work with and good rates,
1301694,Producer,,Commercial Lines,Life,9,Neutral,Agree,coverage and pricing both play a big part in placing the insured with a particular carrier.,Positive
6309,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,7,Promoter,Somewhat Agree,"I am still new and still learning more about Grange.  I am account manager over farms, and I have not received training on how to quote or service farms.",
3701337,Producer,Personal Lines,Commercial Lines,Life,5,Detractor,Agree,we have passport auto and it just isn't the greatest system and too many limitations- not my favorite  term insurance is good though!,User Design
3901171,Producer,Personal Lines,,Life,10,Promoter,Agree,Grange insurance is a great company to do business with,Positive
48461,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,I have not done alot of business with Integrity.  The little that I have done has been great!,Positive
21078,Principal,,Commercial Lines,,8,Detractor,Disagree,PL rates are not competitive.  CL appetite is very limited and difficult to obtain rates.,
3402026,Producer,Personal Lines,,,9,Promoter,Agree,a few billing issues- and reinstatements,Positive
2101329,Principal,Personal Lines,Commercial Lines,,0,Detractor,Disagree,"It is very hard to deal with our clients - if they are in a ""cancel pending"" state and wish to delete a sold vehicle we cannot go in and do any changes - whats worse is they have to pay all without credit.  Or if they purchase a vehicle we cannot add - or backdate without statement of no loss.  Obviously the policy is not cancelled at the 'pending state' - so therefore how can Grange not accept a newly purchased vehicle, or a sold vehicle?? doesn't seem within rights of our insured.",
21124,Customer Service Representative (CSR),Personal Lines,,,7,Detractor,Somewhat Disagree,The rates for our area are not competitive with the our other companies.,
2025,Producer,Personal Lines,Commercial Lines,,10,Neutral,Agree,"Pricing is problematic. IF we can't be competitive, then it doesn't matter how great the company is.",Positive
48368,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,I just haven't wrote anything with Integrity yet. I am a new agent still finding my way.,
21076,Customer Service Representative (CSR),,Commercial Lines,,5,Detractor,Somewhat Disagree,....,
2101336,Other,,Commercial Lines,,4,Detractor,Somewhat Agree,Your loss runs information needs to be more user friendly and if you had an on-line claims system for both insured's and agents that would make you more competitive w/other carriers,
3108,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Very easy to work with,Positive
1601364,Producer,Personal Lines,,Life,10,Promoter,Somewhat Agree,The auto rates could be a little lower,
1001257,Other,,Commercial Lines,,10,Neutral,Agree,I am not an agent; I am the accountant,Positive
22007,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,Professional and helpful personnel to work with. Paul Enterline is very easy to work with. He returns calls and get answers for you.,
3901307,Producer,Personal Lines,,,7,Promoter,Somewhat Agree,There should be better options for billing - like the ability to change a withdrawal date etc. Grange is also not offered in our PL Rater system so we have to manually rate which they used to offer that option before so it makes it a little more time consuming.,
3402136,Customer Service Representative (CSR),,Commercial Lines,,7,Promoter,Agree,Underwriters are available and willing to answer questions.  Response time is good.,Positive
